org_id	org_name
116	Government of Iraq
234	IS
130	Government of Afghanistan
292	Jam'iyyat-i Islami-yi Afghanistan
299	Hizb-i Islami-yi Afghanistan
294	Hizb-i Islami-yi Afghanistan - Khalis faction
296	Mahaz-i Milli-yi Islami-yi Afghanistan
300	Hizb-i Wahdat
301	Military faction (forces of Shahnawaz Tanay)
302	Junbish-i Milli-yi Islami
303	Taleban
304	UIFSA
141	Government of India
325	Kashmir insurgents
131	Government of Tajikistan
345	UTO
142	Government of Pakistan
356	TTP
3	Government of United States of America
769	al-Qaida
57	Government of Russia (Soviet Union)
1	Civilians
388	LeJ
375	Forces of Abdul Rahman Khan
376	Forces of Amanullah
377	Forces of Amanullah Khan
378	Forces of Arbab Basir
379	Forces of Ismail Khan
293	Harakat-i Inqilab-i Islami-yi Afghanistan
297	Ittihad-i Islami Bara-yi Azadi-yi Afghanistan
801	Hizb-i Wahdat - Akbari faction
802	Jamiat-ul-Dawa
803	Shura-yi Nazar-i Shomali
856	Taleban - Ali Dad faction
857	Taleban - Mola Khel faction
2518	Forces of Sayed Mansur Naderi
6356	Government of United Kingdom, Government of United States of America
5864	TTP-KM
5865	TTP-SM
6194	Forces of Mullah Abdol Rauf Khadim
6252	High Council of Afghanistan Islamic Emirate
6318	High Council of Afghanistan Islamic Emirate, IS
8114	NRF
49	Government of Serbia (Yugoslavia)
357	UCK
109	Government of Algeria
536	Takfir wa'l Hijra
537	AIS
538	GIA
539	AQIM
3481	Signed-in-Blood Battalion
903	GIA - El Ahd Battalion
1026	GIA - El Khadra Battalion
904	GIA - El Forkane
1161	MUJAO
4171	Arab Brabich
1568	Idnan (Tuareg)
99	Government of Angola
567	UNITA
540	FLEC-R
541	FLEC-FAC
7412	FLEC-FAC-TN
121	Government of Israel
366	Hezbollah
64	Government of Azerbaijan
338	Republic of Artsakh
347	Military faction (forces of Suret Husseinov)
348	OPON Forces
126	Government of Bahrain
144	Government of Myanmar (Burma)
187	RSO
143	Government of Bangladesh
285	JSS/SB
307	NLFT
1218	JMB
372	Supporters of Awami League
374	Supporters of BNP
804	BCP
805	PBCP
2765	Supporters of Jamaat-e-Islami
3051	ULA
1165	PBCP-J
3968	BNLF
6692	ARSA
363	NDFB
807	Laime
806	Qaqachaca
7038	Bonde dos 13
772	Comando Vermelho
50	Government of Bosnia-Herzegovina
371	Serbian irregulars
339	Serbian Republic of Bosnia-Herzegovina
48	Government of Croatia
340	Serbian Republic of Krajina
349	Autonomous Province of Western Bosnia
370	Croatian irregulars
350	Croatian Republic of Bosnia-Herzegovina
3864	Serbian irregulars, Serbian Republic of Bosnia-Herzegovina
845	Republic of Bosnia-Herzegovina
337	Republic of Croatia
102	Government of South Africa
22	Government of Brazil
781	Terceiro Comando
4416	Amigos dos Amigos
4431	Barriga gang
4432	Sujeirinha gang
4462	Terceiro Comando Puro
4537	Okaida
4536	Estados Unidos
6743	FDN
3176	PCC
6936	Sindicato RN
7014	GDE
7634	Comando Classe A
8199	Anti-Bala
8198	Bala na Cara
8279	Bonde do Maluco
8280	Katiara
8285	GDE, PCC
8292	Associação Família Capixaba
8293	Cartel do Norte
8295	Amigos Para Sempre
8294	Família Terror Amapá
78	Government of Burkina Faso
6716	JNIM
6648	Ansaroul Islam
6857	Koglweogo
93	Government of Burundi
430	Palipehutu
431	CNDD
433	Frolina
432	Palipehutu-FNL
434	CNDD-FDD
94	Government of Rwanda
527	FPR
619	Hutu rebels
623	Interahamwe, ex-FAR
1128	ALiR
786	Palipehutu-FNL - LP
915	Hutu
3514	Tutsi
3553	FNL-Ubugabo-Burihabwa
528	FDLR
6187	Military faction (forces of Godefroid Niyombare)
6297	FPB
6513	RED-TABARA
8175	FRODEBU
148	Government of Cambodia (Kampuchea)
147	Government of Thailand
270	KR
272	KPNLF
273	FUNCINPEC
7248	Forces of Norodom Ranariddh
7249	Military faction (Forces of Hun Sen)
84	Government of Nigeria
